Tran	Gene
ENSRNOT00000028158	ENSRNOG00000029043
ENSRNOT00000028164	ENSRNOG00000020746
ENSRNOT00000028173	ENSRNOG00000020753
ENSRNOT00000028174	ENSRNOG00000020751
ENSRNOT00000028175	ENSRNOG00000020736
ENSRNOT00000028176	ENSRNOG00000020763
ENSRNOT00000028177	ENSRNOG00000020743
ENSRNOT00000028178	ENSRNOG00000020770
ENSRNOT00000028179	ENSRNOG00000020771
ENSRNOT00000028181	ENSRNOG00000020744
ENSRNOT00000028184	ENSRNOG00000030308
ENSRNOT00000028185	ENSRNOG00000020773
ENSRNOT00000028186	ENSRNOG00000020769
ENSRNOT00000028187	ENSRNOG00000020777
ENSRNOT00000028188	ENSRNOG00000020715
ENSRNOT00000028189	ENSRNOG00000020779
ENSRNOT00000028194	ENSRNOG00000020783
ENSRNOT00000028195	ENSRNOG00000020776
ENSRNOT00000028196	ENSRNOG00000020775
ENSRNOT00000028197	ENSRNOG00000020784
ENSRNOT00000028200	ENSRNOG00000020778
ENSRNOT00000028210	ENSRNOG00000020791
ENSRNOT00000028211	ENSRNOG00000020781
ENSRNOT00000028213	ENSRNOG00000020792
ENSRNOT00000028217	ENSRNOG00000020793
ENSRNOT00000028219	ENSRNOG00000020782
ENSRNOT00000028220	ENSRNOG00000020803
ENSRNOT00000028222	ENSRNOG00000020799
ENSRNOT00000028225	ENSRNOG00000020797
ENSRNOT00000028234	ENSRNOG00000020811
ENSRNOT00000028237	ENSRNOG00000020817
ENSRNOT00000028238	ENSRNOG00000020805
ENSRNOT00000028244	ENSRNOG00000031135
ENSRNOT00000028246	ENSRNOG00000020822
ENSRNOT00000028247	ENSRNOG00000020821
ENSRNOT00000028249	ENSRNOG00000020817
ENSRNOT00000028260	ENSRNOG00000020829
ENSRNOT00000028261	ENSRNOG00000020827
ENSRNOT00000028262	ENSRNOG00000020813
ENSRNOT00000028263	ENSRNOG00000020832
ENSRNOT00000028264	ENSRNOG00000033653
ENSRNOT00000028265	ENSRNOG00000049277
ENSRNOT00000028266	ENSRNOG00000020835
ENSRNOT00000028271	ENSRNOG00000020812
ENSRNOT00000028275	ENSRNOG00000020839
ENSRNOT00000028277	ENSRNOG00000020837
ENSRNOT00000028278	ENSRNOG00000020833
ENSRNOT00000028283	ENSRNOG00000050994
ENSRNOT00000028284	ENSRNOG00000020845
ENSRNOT00000028287	ENSRNOG00000020849
ENSRNOT00000028288	ENSRNOG00000020847
ENSRNOT00000028290	ENSRNOG00000020848
ENSRNOT00000028295	ENSRNOG00000020853
ENSRNOT00000028297	ENSRNOG00000020851
ENSRNOT00000028299	ENSRNOG00000020860
ENSRNOT00000028303	ENSRNOG00000020863
ENSRNOT00000028306	ENSRNOG00000020864
ENSRNOT00000028315	ENSRNOG00000020843
ENSRNOT00000028316	ENSRNOG00000020869
ENSRNOT00000028318	ENSRNOG00000020874
ENSRNOT00000028322	ENSRNOG00000020871
ENSRNOT00000028323	ENSRNOG00000020877
ENSRNOT00000028324	ENSRNOG00000020875
ENSRNOT00000028328	ENSRNOG00000020876
ENSRNOT00000028329	ENSRNOG00000020865
ENSRNOT00000028331	ENSRNOG00000020881
ENSRNOT00000028332	ENSRNOG00000020879
ENSRNOT00000028334	ENSRNOG00000020883
ENSRNOT00000028343	ENSRNOG00000020888
ENSRNOT00000028347	ENSRNOG00000020884
ENSRNOT00000028348	ENSRNOG00000020882
ENSRNOT00000028355	ENSRNOG00000020890
ENSRNOT00000028360	ENSRNOG00000020878
ENSRNOT00000028363	ENSRNOG00000020892
ENSRNOT00000028364	ENSRNOG00000020891
ENSRNOT00000028365	ENSRNOG00000020899
ENSRNOT00000028368	ENSRNOG00000020894
ENSRNOT00000028373	ENSRNOG00000020897
ENSRNOT00000028374	ENSRNOG00000020903
ENSRNOT00000028375	ENSRNOG00000020902
ENSRNOT00000028379	ENSRNOG00000020904
ENSRNOT00000028380	ENSRNOG00000020901
ENSRNOT00000028388	ENSRNOG00000036794
ENSRNOT00000028389	ENSRNOG00000020893
ENSRNOT00000028390	ENSRNOG00000020889
ENSRNOT00000028396	ENSRNOG00000020907
ENSRNOT00000028401	ENSRNOG00000020922
ENSRNOT00000028405	ENSRNOG00000020925
ENSRNOT00000028406	ENSRNOG00000020906
ENSRNOT00000028407	ENSRNOG00000020930
ENSRNOT00000028409	ENSRNOG00000020915
ENSRNOT00000028410	ENSRNOG00000020932
ENSRNOT00000028411	ENSRNOG00000020918
ENSRNOT00000028413	ENSRNOG00000020929
ENSRNOT00000028416	ENSRNOG00000020936
ENSRNOT00000028423	ENSRNOG00000020942
ENSRNOT00000028426	ENSRNOG00000020946
ENSRNOT00000028431	ENSRNOG00000020935
ENSRNOT00000028433	ENSRNOG00000020945
ENSRNOT00000028434	ENSRNOG00000020947
ENSRNOT00000028435	ENSRNOG00000020948
ENSRNOT00000028436	ENSRNOG00000020949
ENSRNOT00000028438	ENSRNOG00000020941
ENSRNOT00000028440	ENSRNOG00000020952
ENSRNOT00000028442	ENSRNOG00000020957
ENSRNOT00000028443	ENSRNOG00000020953
ENSRNOT00000028445	ENSRNOG00000020951
ENSRNOT00000028458	ENSRNOG00000020955
ENSRNOT00000028462	ENSRNOG00000020950
ENSRNOT00000028468	ENSRNOG00000024363
ENSRNOT00000028474	ENSRNOG00000020956
ENSRNOT00000028475	ENSRNOG00000020975
ENSRNOT00000028476	ENSRNOG00000042133
ENSRNOT00000028479	ENSRNOG00000020981
ENSRNOT00000028481	ENSRNOG00000020982
ENSRNOT00000028482	ENSRNOG00000021794
ENSRNOT00000028483	ENSRNOG00000020980
ENSRNOT00000028484	ENSRNOG00000020979
ENSRNOT00000028485	ENSRNOG00000020989
ENSRNOT00000028487	ENSRNOG00000020970
ENSRNOT00000028490	ENSRNOG00000020990
ENSRNOT00000028491	ENSRNOG00000020993
ENSRNOT00000028493	ENSRNOG00000036625
ENSRNOT00000028494	ENSRNOG00000020995
ENSRNOT00000028495	ENSRNOG00000020996
ENSRNOT00000028496	ENSRNOG00000020994
ENSRNOT00000028498	ENSRNOG00000020998
ENSRNOT00000028506	ENSRNOG00000021002
ENSRNOT00000028507	ENSRNOG00000021001
ENSRNOT00000028508	ENSRNOG00000020985
ENSRNOT00000028509	ENSRNOG00000021003
ENSRNOT00000028511	ENSRNOG00000021007
ENSRNOT00000028514	ENSRNOG00000021006
ENSRNOT00000028517	ENSRNOG00000021005
ENSRNOT00000028518	ENSRNOG00000021009
ENSRNOT00000028519	ENSRNOG00000021011
ENSRNOT00000028522	ENSRNOG00000021014
ENSRNOT00000028524	ENSRNOG00000021016
ENSRNOT00000028525	ENSRNOG00000021010
ENSRNOT00000028526	ENSRNOG00000021015
ENSRNOT00000028527	ENSRNOG00000021018
ENSRNOT00000028532	ENSRNOG00000021021
ENSRNOT00000028533	ENSRNOG00000024009
ENSRNOT00000028535	ENSRNOG00000021013
ENSRNOT00000028536	ENSRNOG00000021020
ENSRNOT00000028540	ENSRNOG00000021017
ENSRNOT00000028542	ENSRNOG00000021025
ENSRNOT00000028544	ENSRNOG00000021023
ENSRNOT00000028545	ENSRNOG00000021029
ENSRNOT00000028546	ENSRNOG00000021027
ENSRNOT00000028549	ENSRNOG00000021032
ENSRNOT00000028553	ENSRNOG00000021026
ENSRNOT00000028555	ENSRNOG00000021035
ENSRNOT00000028557	ENSRNOG00000021031
ENSRNOT00000028558	ENSRNOG00000021037
ENSRNOT00000028561	ENSRNOG00000011066
ENSRNOT00000028563	ENSRNOG00000021041
ENSRNOT00000028564	ENSRNOG00000021039
ENSRNOT00000028570	ENSRNOG00000021046
ENSRNOT00000028572	ENSRNOG00000046620
ENSRNOT00000028575	ENSRNOG00000021050
ENSRNOT00000028585	ENSRNOG00000021053
ENSRNOT00000028588	ENSRNOG00000021051
ENSRNOT00000028589	ENSRNOG00000021042
ENSRNOT00000028591	ENSRNOG00000021056
ENSRNOT00000028592	ENSRNOG00000021054
ENSRNOT00000028597	ENSRNOG00000021062
ENSRNOT00000028599	ENSRNOG00000021065
ENSRNOT00000028600	ENSRNOG00000021066
ENSRNOT00000028601	ENSRNOG00000021069
ENSRNOT00000028603	ENSRNOG00000021067
ENSRNOT00000028604	ENSRNOG00000021070
ENSRNOT00000028605	ENSRNOG00000021071
ENSRNOT00000028606	ENSRNOG00000021072
ENSRNOT00000028608	ENSRNOG00000021074
ENSRNOT00000028609	ENSRNOG00000021068
ENSRNOT00000028615	ENSRNOG00000021063
ENSRNOT00000028617	ENSRNOG00000021078
ENSRNOT00000028622	ENSRNOG00000021084
ENSRNOT00000028624	ENSRNOG00000021079
ENSRNOT00000028625	ENSRNOG00000021081
ENSRNOT00000028626	ENSRNOG00000021086
ENSRNOT00000028627	ENSRNOG00000021082
ENSRNOT00000028628	ENSRNOG00000021085
ENSRNOT00000028630	ENSRNOG00000021088
ENSRNOT00000028632	ENSRNOG00000021087
ENSRNOT00000028633	ENSRNOG00000021091
ENSRNOT00000028635	ENSRNOG00000021093
ENSRNOT00000028636	ENSRNOG00000021090
ENSRNOT00000028637	ENSRNOG00000021095
ENSRNOT00000028639	ENSRNOG00000021092
ENSRNOT00000028640	ENSRNOG00000021099
ENSRNOT00000028642	ENSRNOG00000021100
ENSRNOT00000028644	ENSRNOG00000021097
ENSRNOT00000028645	ENSRNOG00000021101
ENSRNOT00000028646	ENSRNOG00000021098
ENSRNOT00000028650	ENSRNOG00000021096
ENSRNOT00000028651	ENSRNOG00000021103
ENSRNOT00000028653	ENSRNOG00000021102
ENSRNOT00000028656	ENSRNOG00000021104
ENSRNOT00000028660	ENSRNOG00000021106
ENSRNOT00000028661	ENSRNOG00000021105
ENSRNOT00000028662	ENSRNOG00000021109
ENSRNOT00000028664	ENSRNOG00000021110
ENSRNOT00000028665	ENSRNOG00000021108
ENSRNOT00000028671	ENSRNOG00000021116
ENSRNOT00000028672	ENSRNOG00000021113
ENSRNOT00000028674	ENSRNOG00000021119
ENSRNOT00000028675	ENSRNOG00000026951
ENSRNOT00000028677	ENSRNOG00000021120
ENSRNOT00000028678	ENSRNOG00000021117
ENSRNOT00000028680	ENSRNOG00000021118
ENSRNOT00000028681	ENSRNOG00000021123
ENSRNOT00000028685	ENSRNOG00000021128
ENSRNOT00000028687	ENSRNOG00000021125
ENSRNOT00000028688	ENSRNOG00000021129
ENSRNOT00000028693	ENSRNOG00000021134
ENSRNOT00000028695	ENSRNOG00000021132
ENSRNOT00000028696	ENSRNOG00000021130
ENSRNOT00000028697	ENSRNOG00000021139
ENSRNOT00000028698	ENSRNOG00000021137
ENSRNOT00000028699	ENSRNOG00000021138
ENSRNOT00000028703	ENSRNOG00000021144
ENSRNOT00000028704	ENSRNOG00000021140
ENSRNOT00000028707	ENSRNOG00000021145
ENSRNOT00000028709	ENSRNOG00000021143
ENSRNOT00000028712	ENSRNOG00000021147
ENSRNOT00000028713	ENSRNOG00000019093
ENSRNOT00000028720	ENSRNOG00000021150
ENSRNOT00000028725	ENSRNOG00000021153
ENSRNOT00000028730	ENSRNOG00000021155
ENSRNOT00000028731	ENSRNOG00000043060
ENSRNOT00000028732	ENSRNOG00000021157
ENSRNOT00000028733	ENSRNOG00000021159
ENSRNOT00000028734	ENSRNOG00000021158
ENSRNOT00000028737	ENSRNOG00000021161
ENSRNOT00000028740	ENSRNOG00000021166
ENSRNOT00000028743	ENSRNOG00000021164
ENSRNOT00000028744	ENSRNOG00000021168
ENSRNOT00000028747	ENSRNOG00000021170
ENSRNOT00000028749	ENSRNOG00000021174
ENSRNOT00000028751	ENSRNOG00000021173
ENSRNOT00000028752	ENSRNOG00000021175
ENSRNOT00000028754	ENSRNOG00000021177
ENSRNOT00000028758	ENSRNOG00000021181
ENSRNOT00000028759	ENSRNOG00000021179
ENSRNOT00000028760	ENSRNOG00000021182
ENSRNOT00000028763	ENSRNOG00000021184
ENSRNOT00000028767	ENSRNOG00000021185
ENSRNOT00000028779	ENSRNOG00000021198
ENSRNOT00000028780	ENSRNOG00000021199
ENSRNOT00000028781	ENSRNOG00000021200
ENSRNOT00000028785	ENSRNOG00000021202
ENSRNOT00000028786	ENSRNOG00000018372
ENSRNOT00000028787	ENSRNOG00000021203
ENSRNOT00000028793	ENSRNOG00000021201
ENSRNOT00000028801	ENSRNOG00000021209
ENSRNOT00000028807	ENSRNOG00000021215
ENSRNOT00000028811	ENSRNOG00000021216
ENSRNOT00000028812	ENSRNOG00000021217
ENSRNOT00000028814	ENSRNOG00000021218
ENSRNOT00000028815	ENSRNOG00000033560
ENSRNOT00000028816	ENSRNOG00000007408
ENSRNOT00000028818	ENSRNOG00000021220
ENSRNOT00000028821	ENSRNOG00000021222
ENSRNOT00000028828	ENSRNOG00000021224
ENSRNOT00000028829	ENSRNOG00000021225
ENSRNOT00000028833	ENSRNOG00000021229
ENSRNOT00000028834	ENSRNOG00000021230
ENSRNOT00000028835	ENSRNOG00000021231
ENSRNOT00000028838	ENSRNOG00000021233
ENSRNOT00000028839	ENSRNOG00000021234
ENSRNOT00000028842	ENSRNOG00000021237
ENSRNOT00000028847	ENSRNOG00000021240
ENSRNOT00000028854	ENSRNOG00000021242
ENSRNOT00000028855	ENSRNOG00000021243
ENSRNOT00000028856	ENSRNOG00000021244
ENSRNOT00000028859	ENSRNOG00000021245
ENSRNOT00000028861	ENSRNOG00000021247
ENSRNOT00000028869	ENSRNOG00000021250
ENSRNOT00000028875	ENSRNOG00000009351
ENSRNOT00000028876	ENSRNOG00000021255
ENSRNOT00000028877	ENSRNOG00000021256
ENSRNOT00000028881	ENSRNOG00000021259
ENSRNOT00000028883	ENSRNOG00000021261
ENSRNOT00000028885	ENSRNOG00000021262
ENSRNOT00000028886	ENSRNOG00000021263
ENSRNOT00000028887	ENSRNOG00000021264
ENSRNOT00000028888	ENSRNOG00000021265
ENSRNOT00000028889	ENSRNOG00000021266
ENSRNOT00000028891	ENSRNOG00000021268
ENSRNOT00000028892	ENSRNOG00000021269
ENSRNOT00000028893	ENSRNOG00000021270
ENSRNOT00000028898	ENSRNOG00000021272
ENSRNOT00000028900	ENSRNOG00000021273
ENSRNOT00000028901	ENSRNOG00000021274
ENSRNOT00000028904	ENSRNOG00000021276
ENSRNOT00000028907	ENSRNOG00000025895
ENSRNOT00000028909	ENSRNOG00000024438
ENSRNOT00000028923	ENSRNOG00000027370
ENSRNOT00000028924	ENSRNOG00000025687
ENSRNOT00000028927	ENSRNOG00000028651
ENSRNOT00000028936	ENSRNOG00000021332
ENSRNOT00000028948	ENSRNOG00000022472
ENSRNOT00000028952	ENSRNOG00000024685
ENSRNOT00000028960	ENSRNOG00000046120
ENSRNOT00000028963	ENSRNOG00000027799
ENSRNOT00000028965	ENSRNOG00000021334
ENSRNOT00000028967	ENSRNOG00000019846
ENSRNOT00000028969	ENSRNOG00000024577
ENSRNOT00000028970	ENSRNOG00000021366
ENSRNOT00000028971	ENSRNOG00000021338
ENSRNOT00000028972	ENSRNOG00000025463
ENSRNOT00000028974	ENSRNOG00000030724
ENSRNOT00000028988	ENSRNOG00000023387
ENSRNOT00000028992	ENSRNOG00000023659
ENSRNOT00000028997	ENSRNOG00000028074
ENSRNOT00000029001	ENSRNOG00000021380
ENSRNOT00000029017	ENSRNOG00000028566
ENSRNOT00000029021	ENSRNOG00000027849
ENSRNOT00000029025	ENSRNOG00000013536
ENSRNOT00000029027	ENSRNOG00000027374
ENSRNOT00000029030	ENSRNOG00000022251
ENSRNOT00000029031	ENSRNOG00000007682
ENSRNOT00000029035	ENSRNOG00000025453
ENSRNOT00000029039	ENSRNOG00000007758
ENSRNOT00000029041	ENSRNOG00000024641
ENSRNOT00000029045	ENSRNOG00000006749
ENSRNOT00000029046	ENSRNOG00000038046
ENSRNOT00000029049	ENSRNOG00000050040
ENSRNOT00000029053	ENSRNOG00000021401
ENSRNOT00000029055	ENSRNOG00000022155
ENSRNOT00000029070	ENSRNOG00000000783
ENSRNOT00000029072	ENSRNOG00000042139
ENSRNOT00000029076	ENSRNOG00000017441
ENSRNOT00000029077	ENSRNOG00000022257
ENSRNOT00000029081	ENSRNOG00000021411
ENSRNOT00000029092	ENSRNOG00000036726
ENSRNOT00000029097	ENSRNOG00000022570
ENSRNOT00000029099	ENSRNOG00000021435
ENSRNOT00000029100	ENSRNOG00000022267
ENSRNOT00000029104	ENSRNOG00000024634
ENSRNOT00000029111	ENSRNOG00000043341
ENSRNOT00000029114	ENSRNOG00000047370
ENSRNOT00000029115	ENSRNOG00000024647
ENSRNOT00000029118	ENSRNOG00000003781
ENSRNOT00000029125	ENSRNOG00000014508
ENSRNOT00000029127	ENSRNOG00000023856
ENSRNOT00000029136	ENSRNOG00000038622
ENSRNOT00000029140	ENSRNOG00000027633
ENSRNOT00000029166	ENSRNOG00000010877
ENSRNOT00000029167	ENSRNOG00000024580
ENSRNOT00000029171	ENSRNOG00000021485
ENSRNOT00000029177	ENSRNOG00000021492
ENSRNOT00000029178	ENSRNOG00000022281
ENSRNOT00000029179	ENSRNOG00000024159
ENSRNOT00000029183	ENSRNOG00000027063
ENSRNOT00000029184	ENSRNOG00000028548
ENSRNOT00000029187	ENSRNOG00000027547
ENSRNOT00000029191	ENSRNOG00000027623
ENSRNOT00000029193	ENSRNOG00000028189
ENSRNOT00000029197	ENSRNOG00000033706
ENSRNOT00000029202	ENSRNOG00000024632
ENSRNOT00000029204	ENSRNOG00000012924
ENSRNOT00000029206	ENSRNOG00000026215
ENSRNOT00000029208	ENSRNOG00000027468
ENSRNOT00000029209	ENSRNOG00000002180
ENSRNOT00000029210	ENSRNOG00000025273
ENSRNOT00000029220	ENSRNOG00000024580
ENSRNOT00000029223	ENSRNOG00000005153
ENSRNOT00000029224	ENSRNOG00000049602
ENSRNOT00000029228	ENSRNOG00000005802
ENSRNOT00000029230	ENSRNOG00000026488
ENSRNOT00000029237	ENSRNOG00000021510
ENSRNOT00000029238	ENSRNOG00000027039
ENSRNOT00000029239	ENSRNOG00000022429
ENSRNOT00000029244	ENSRNOG00000026296
ENSRNOT00000029245	ENSRNOG00000022286
ENSRNOT00000029250	ENSRNOG00000026937
ENSRNOT00000029255	ENSRNOG00000001764
ENSRNOT00000029265	ENSRNOG00000026944
ENSRNOT00000029266	ENSRNOG00000024650
ENSRNOT00000029272	ENSRNOG00000025534
ENSRNOT00000029274	ENSRNOG00000023412
ENSRNOT00000029279	ENSRNOG00000027028
ENSRNOT00000029284	ENSRNOG00000016050
ENSRNOT00000029285	ENSRNOG00000060291
ENSRNOT00000029297	ENSRNOG00000028707
ENSRNOT00000029298	ENSRNOG00000042687
ENSRNOT00000029312	ENSRNOG00000021410
ENSRNOT00000029315	ENSRNOG00000038286
ENSRNOT00000029318	ENSRNOG00000021557
ENSRNOT00000029319	ENSRNOG00000045612
ENSRNOT00000029328	ENSRNOG00000022622
ENSRNOT00000029332	ENSRNOG00000021579
ENSRNOT00000029340	ENSRNOG00000021581
ENSRNOT00000029345	ENSRNOG00000027478
ENSRNOT00000029346	ENSRNOG00000025233
ENSRNOT00000029359	ENSRNOG00000025545
ENSRNOT00000029382	ENSRNOG00000023457
ENSRNOT00000029386	ENSRNOG00000036719
ENSRNOT00000029387	ENSRNOG00000038267
ENSRNOT00000029388	ENSRNOG00000024957
ENSRNOT00000029394	ENSRNOG00000028519
ENSRNOT00000029395	ENSRNOG00000021609
ENSRNOT00000029397	ENSRNOG00000021434
ENSRNOT00000029408	ENSRNOG00000022709
ENSRNOT00000029409	ENSRNOG00000048841
ENSRNOT00000029411	ENSRNOG00000023093
ENSRNOT00000029413	ENSRNOG00000023870
ENSRNOT00000029415	ENSRNOG00000028649
ENSRNOT00000029416	ENSRNOG00000024077
ENSRNOT00000029419	ENSRNOG00000004109
ENSRNOT00000029420	ENSRNOG00000027797
ENSRNOT00000029421	ENSRNOG00000026508
ENSRNOT00000029431	ENSRNOG00000021918
ENSRNOT00000029433	ENSRNOG00000028202
ENSRNOT00000029435	ENSRNOG00000026963
ENSRNOT00000029439	ENSRNOG00000037850
ENSRNOT00000029441	ENSRNOG00000026323
ENSRNOT00000029443	ENSRNOG00000021644
ENSRNOT00000029444	ENSRNOG00000021442
ENSRNOT00000029451	ENSRNOG00000046294
ENSRNOT00000029456	ENSRNOG00000021638
ENSRNOT00000029458	ENSRNOG00000028302
ENSRNOT00000029461	ENSRNOG00000033403
ENSRNOT00000029471	ENSRNOG00000042059
ENSRNOT00000029485	ENSRNOG00000028323
ENSRNOT00000029486	ENSRNOG00000006615
ENSRNOT00000029487	ENSRNOG00000020578
ENSRNOT00000029488	ENSRNOG00000026056
ENSRNOT00000029493	ENSRNOG00000027622
ENSRNOT00000029503	ENSRNOG00000027276
ENSRNOT00000029508	ENSRNOG00000027489
ENSRNOT00000029509	ENSRNOG00000024197
ENSRNOT00000029510	ENSRNOG00000028526
ENSRNOT00000029511	ENSRNOG00000025705
ENSRNOT00000029513	ENSRNOG00000027249
ENSRNOT00000029524	ENSRNOG00000026714
ENSRNOT00000029526	ENSRNOG00000027035
ENSRNOT00000029531	ENSRNOG00000023407
ENSRNOT00000029533	ENSRNOG00000028250
ENSRNOT00000029537	ENSRNOG00000013671
ENSRNOT00000029546	ENSRNOG00000027503
ENSRNOT00000029549	ENSRNOG00000001730
ENSRNOT00000029552	ENSRNOG00000025890
ENSRNOT00000029558	ENSRNOG00000028533
ENSRNOT00000029565	ENSRNOG00000011341
ENSRNOT00000029572	ENSRNOG00000024960
ENSRNOT00000029573	ENSRNOG00000022798
ENSRNOT00000029577	ENSRNOG00000027736
ENSRNOT00000029580	ENSRNOG00000021689
ENSRNOT00000029587	ENSRNOG00000027582
ENSRNOT00000029591	ENSRNOG00000021913
ENSRNOT00000029593	ENSRNOG00000010350
ENSRNOT00000029600	ENSRNOG00000022162
ENSRNOT00000029602	ENSRNOG00000024709
ENSRNOT00000029607	ENSRNOG00000021724
ENSRNOT00000029608	ENSRNOG00000028092
ENSRNOT00000029615	ENSRNOG00000027012
ENSRNOT00000029620	ENSRNOG00000009640
ENSRNOT00000029621	ENSRNOG00000027855
ENSRNOT00000029626	ENSRNOG00000032745
ENSRNOT00000029628	ENSRNOG00000013391
ENSRNOT00000029629	ENSRNOG00000026408
ENSRNOT00000029631	ENSRNOG00000026725
ENSRNOT00000029634	ENSRNOG00000010999
ENSRNOT00000029635	ENSRNOG00000017273
ENSRNOT00000029651	ENSRNOG00000025720
ENSRNOT00000029652	ENSRNOG00000025117
ENSRNOT00000029655	ENSRNOG00000028095
ENSRNOT00000029656	ENSRNOG00000037684
ENSRNOT00000029660	ENSRNOG00000021750
ENSRNOT00000029664	ENSRNOG00000025730
ENSRNOT00000029672	ENSRNOG00000009241
ENSRNOT00000029674	ENSRNOG00000024455
ENSRNOT00000029677	ENSRNOG00000028557
ENSRNOT00000029679	ENSRNOG00000022480
ENSRNOT00000029680	ENSRNOG00000023314
ENSRNOT00000029692	ENSRNOG00000024605
ENSRNOT00000029694	ENSRNOG00000004393
ENSRNOT00000029696	ENSRNOG00000012830
ENSRNOT00000029697	ENSRNOG00000025994
ENSRNOT00000029701	ENSRNOG00000007440
ENSRNOT00000029702	ENSRNOG00000022784
ENSRNOT00000029704	ENSRNOG00000012664
ENSRNOT00000029706	ENSRNOG00000025119
ENSRNOT00000029708	ENSRNOG00000021406
ENSRNOT00000029710	ENSRNOG00000028492
ENSRNOT00000029711	ENSRNOG00000021765
ENSRNOT00000029712	ENSRNOG00000024539
ENSRNOT00000029713	ENSRNOG00000021397
ENSRNOT00000029719	ENSRNOG00000025111
ENSRNOT00000029721	ENSRNOG00000026091
ENSRNOT00000029723	ENSRNOG00000042201
ENSRNOT00000029724	ENSRNOG00000023449
ENSRNOT00000029728	ENSRNOG00000021781
ENSRNOT00000029753	ENSRNOG00000005804
ENSRNOT00000029755	ENSRNOG00000024330
ENSRNOT00000029757	ENSRNOG00000013089
ENSRNOT00000029764	ENSRNOG00000021681
ENSRNOT00000029766	ENSRNOG00000026759
ENSRNOT00000029768	ENSRNOG00000021812
ENSRNOT00000029769	ENSRNOG00000027857
ENSRNOT00000029771	ENSRNOG00000021798
ENSRNOT00000029773	ENSRNOG00000026952
ENSRNOT00000029774	ENSRNOG00000021811
ENSRNOT00000029778	ENSRNOG00000023456
ENSRNOT00000029782	ENSRNOG00000027271
ENSRNOT00000029783	ENSRNOG00000021688
ENSRNOT00000029784	ENSRNOG00000027929
ENSRNOT00000029787	ENSRNOG00000037928
ENSRNOT00000029791	ENSRNOG00000024603
ENSRNOT00000029805	ENSRNOG00000033910
ENSRNOT00000029807	ENSRNOG00000037707
ENSRNOT00000029810	ENSRNOG00000027936
ENSRNOT00000029818	ENSRNOG00000026958
ENSRNOT00000029819	ENSRNOG00000021817
ENSRNOT00000029823	ENSRNOG00000022227
ENSRNOT00000029825	ENSRNOG00000027944
ENSRNOT00000029829	ENSRNOG00000021828
ENSRNOT00000029833	ENSRNOG00000037709
ENSRNOT00000029842	ENSRNOG00000001756
ENSRNOT00000029845	ENSRNOG00000026965
ENSRNOT00000029848	ENSRNOG00000025121
ENSRNOT00000029851	ENSRNOG00000025990
ENSRNOT00000029859	ENSRNOG00000009039
ENSRNOT00000029865	ENSRNOG00000000655
ENSRNOT00000029866	ENSRNOG00000026783
ENSRNOT00000029868	ENSRNOG00000022320
ENSRNOT00000029871	ENSRNOG00000024947
ENSRNOT00000029878	ENSRNOG00000000655
ENSRNOT00000029879	ENSRNOG00000027091
ENSRNOT00000029885	ENSRNOG00000021637
ENSRNOT00000029887	ENSRNOG00000021839
ENSRNOT00000029888	ENSRNOG00000028351
ENSRNOT00000029893	ENSRNOG00000048100
ENSRNOT00000029911	ENSRNOG00000026629
ENSRNOT00000029915	ENSRNOG00000025930
ENSRNOT00000029920	ENSRNOG00000022680
ENSRNOT00000029922	ENSRNOG00000008510
ENSRNOT00000029958	ENSRNOG00000022703
ENSRNOT00000029966	ENSRNOG00000024271
ENSRNOT00000029967	ENSRNOG00000024217
ENSRNOT00000029976	ENSRNOG00000024204
ENSRNOT00000029980	ENSRNOG00000022857
ENSRNOT00000029985	ENSRNOG00000028594
ENSRNOT00000029990	ENSRNOG00000022218
ENSRNOT00000029994	ENSRNOG00000022099
ENSRNOT00000029996	ENSRNOG00000027487
ENSRNOT00000029999	ENSRNOG00000026964
ENSRNOT00000030001	ENSRNOG00000026782
ENSRNOT00000030005	ENSRNOG00000028581
ENSRNOT00000030007	ENSRNOG00000027839
ENSRNOT00000030015	ENSRNOG00000006514
ENSRNOT00000030016	ENSRNOG00000028662
ENSRNOT00000030019	ENSRNOG00000023064
ENSRNOT00000030024	ENSRNOG00000021916
ENSRNOT00000030031	ENSRNOG00000022014
ENSRNOT00000030035	ENSRNOG00000030517
ENSRNOT00000030036	ENSRNOG00000027839
ENSRNOT00000030037	ENSRNOG00000019555
ENSRNOT00000030039	ENSRNOG00000046080
ENSRNOT00000030043	ENSRNOG00000026260
ENSRNOT00000030053	ENSRNOG00000021702
ENSRNOT00000030054	ENSRNOG00000014480
ENSRNOT00000030056	ENSRNOG00000021881
ENSRNOT00000030065	ENSRNOG00000023874
ENSRNOT00000030074	ENSRNOG00000002238
ENSRNOT00000030077	ENSRNOG00000028580
ENSRNOT00000030082	ENSRNOG00000021463
ENSRNOT00000030097	ENSRNOG00000042404
ENSRNOT00000030102	ENSRNOG00000021966
ENSRNOT00000030108	ENSRNOG00000025154
ENSRNOT00000030109	ENSRNOG00000028207
ENSRNOT00000030112	ENSRNOG00000022890
ENSRNOT00000030115	ENSRNOG00000027052
ENSRNOT00000030119	ENSRNOG00000019203
ENSRNOT00000030132	ENSRNOG00000023531
ENSRNOT00000030135	ENSRNOG00000043201
ENSRNOT00000030142	ENSRNOG00000028578
ENSRNOT00000030146	ENSRNOG00000027850
ENSRNOT00000030148	ENSRNOG00000027574
